TIME,MESSAGE_TYPE,AIR_TIME,RX_TIME,MESSAGE_ID,NODE_ID,SNR,RSSI,BANDWIDTH,SPREADING_FACTOR,CODING_RATE,HOP_LIMT,HOP_START,PAYLOAD_SIZE,LAT,LON,TRACEROUTE
20240812_12:06:28,/DeviceTelemetry/EnvironmentTelemetry/PowerTelemetry/,559,N/A,0x39ca7143,0xda568c50,9.75,-51,250,11,4/5,0,3,44,N/A,N/A,N/A
20240812_12:06:28,/routing/,N/A,N/A,0x39ca7143,0xda568c50,9.75,-51,N/A,N/A,N/A,0,3,N/A,N/A,N/A,N/A
20240812_12:06:49,/routing/,600,N/A,0x25a57df5,0x33688a3c,9.5,-49,250,11,4/5,0,3,49,N/A,N/A,N/A
20240812_12:08:08,/nodeinfo/,772,N/A,0x6f0241bd,0x93f05072,10,-50,250,11,4/5,1,3,72,N/A,N/A,N/A
20240812_12:08:09,/routing/,N/A,N/A,0x6f0241bd,0x93f05072,10,-50,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A
